"a","interjection","(emphasis)"
"a","interjection","(emotion)"
"a","interjection","(confirmation)"
"akesi","mod","amphibian-"
"akesi","mod","reptilian-"
"akesi","noun","reptile"
"akesi","noun","amphibian"
"ala","mod","no"
"ala","mod","not"
"ala","mod","none"
"ala","mod","un-"
"ala","number","null"
"ala","number","0"
"ala","interjection","no"
"ala","noun","nothing"
"alasa","verb","hunt"
"alasa","verb","forage"
"ali","mod","all"
"ali","mod","abundant"
"ali","mod","countless"
"ali","mod","every"
"ali","mod","whole (ale = ali)"
"ali","noun","everything"
"ali","noun","anything"
"ali","noun","abundance"
"ali","noun","life"
"ali","noun","the universe"
"anpa","mod","lower"
"anpa","mod","bottom"
"anpa","mod","down"
"anpa","mod","humble"
"anpa","noun","lower part"
"anpa","noun","under"
"anpa","noun","below"
"anpa","noun","beneath"
"anpa","verb","to bow down"
"anpa","verb","to defeat"
"anpa","verb","to beat"
"anpa","verb","to conquer"
"ante","mod","different"
"ante","mod","changed"
"ante","mod","other"
"ante","mod","unequal"
"ante","noun","difference"
"ante","noun","change"
"ante","noun","disagreement"
"ante","verb","to change"
"anu","conjunction","or (used for decision questions)"
"awen","mod","enduring"
"awen","mod","kept"
"awen","mod","protected"
"awen","mod","safe"
"awen","mod","waiting"
"awen","mod","staying"
"awen","noun","inertia"
"awen","noun","continuity"
"awen","noun","continuum"
"awen","noun","stay"
"awen","verb","to stay"
"awen","verb","to keep"
"awen","verb","to protect"
"awen","pre-verb","to continue to"
"e","particle","(introduces a direct object)"
"en","conjunction","and (used to coordinate head nouns)"
"esun","mod","commercial"
"esun","mod","trade-related"
"esun","mod","deductible"
"esun","noun","market"
"esun","noun","shop"
"esun","noun","fair"
"esun","noun","bazaar"
"esun","noun","business"
"esun","noun","transaction"
"esun","verb","to trade"
"esun","verb","to exchange"
"ijo","noun","thing"
"ijo","noun","object"
"ijo","noun","phenomenon"
"ijo","noun","matter"
"ike","mod","bad"
"ike","mod","negative"
"ike","mod","non-essential"
"ike","mod","irrelevant"
"ike","interjection","oh dear"
"ike","noun","evil"
"ike","verb","to be bad"
"ike","verb","to suck"
"ike","verb","to worsen"
"ilo","mod","useful"
"ilo","noun","tool"
"ilo","noun","device"
"ilo","noun","machine"
"insa","noun","inside"
"insa","noun","centre"
"insa","noun","contents"
"insa","noun","stomach"
"jaki","mod","disgusting"
"jaki","mod","obscene"
"jaki","mod","sickly"
"jaki","mod","toxic"
"jaki","mod","unclean"
"jaki","mod","unsanitary"
"jan","noun","human being"
"jan","noun","person"
"jan","noun","somebody"
"jelo","mod","yellow"
"jelo","mod","yellowish"
"jo","verb","to have"
"jo","verb","carry"
"jo","verb","contain"
"jo","verb","hold"
"kala","noun","fish"
"kala","noun","marine animal"
"kala","noun","sea creature"
"kalama","verb","to produce a sound"
"kalama","verb","recite"
"kalama","verb","utter aloud"
"kama","mod","arriving"
"kama","mod","coming"
"kama","mod","future"
"kama","mod","summoned"
"kama","pre-verb","to become"
"kama","pre-verb","manage to"
"kama","pre-verb","succeed in"
"kasi","noun","plant"
"kasi","noun","vegetation"
"kasi","noun","herb"
"kasi","noun","leaf"
"ken","pre-verb","to be able to"
"ken","pre-verb","be allowed to"
"ken","pre-verb","can"
"ken","pre-verb","may"
"ken","mod","possible"
"kepeken","preposition","to use"
"kepeken","preposition","with"
"kepeken","preposition","by means of"
"kili","noun","fruit"
"kili","noun","vegetable"
"kili","noun","mushroom"
"kiwen","noun","hard object"
"kiwen","noun","metal"
"kiwen","noun","rock"
"kiwen","noun","stone"
"ko","noun","clay"
"ko","noun","clinging form"
"ko","noun","dough"
"ko","noun","semi-solid"
"ko","noun","paste"
"ko","noun","powder"
"kon","noun","air"
"kon","noun","breath"
"kon","noun","essence"
"kon","noun","spirit"
"kon","noun","hidden reality"
"kon","noun","unseen agent"
"kule","mod","colourful"
"kule","mod","pigmented"
"kule","mod","painted"
"kulupu","noun","community"
"kulupu","noun","company"
"kulupu","noun","group"
"kulupu","noun","nation"
"kulupu","noun","society"
"kulupu","noun","tribe"
"kute","noun","ear"
"kute","verb","to hear"
"kute","verb","listen"
"kute","verb","pay attention to"
"kute","verb","obey"
"la","particle","(between the context phrase and the main sentence)"
"lape","mod","sleeping"
"lape","mod","resting"
"laso","mod","blue"
"laso","mod","green"
"lawa","noun","head"
"lawa","noun","mind"
"lawa","verb","to control"
"lawa","verb","direct"
"lawa","verb","guide"
"lawa","verb","lead"
"lawa","verb","own"
"lawa","verb","plan"
"lawa","verb","regulate"
"lawa","verb","rule"
"len","noun","cloth"
